Lines: 001339
User Defined	Macro	RRECT	
Digital by Number	45xx	4519	4519	*4-bit AND/OR Selector - type:digital pkg:DIP16 [DVDD=16;DGND=8;](15,2,4,6,1,3,5,7,9,14,10,11,12,3)
Digital by Number	45xx	4518	4518	*Dual Up Counter - type:digital pkg:DIP16 [DVDD=16;DGND=8;](A:1,2,7,3,4,5,6)(B:9,10,15,11,12,13,14)
Digital by Number	45xx	4517	4517	*Dual 64-bit Static Shift Register - type:digital pkg:DIP16 [DVDD=16;DGND=8;](A:7,4,3,1,6,2,5)(B:9,12,13,15,10,14,11)
Digital by Number	45xx	4516	4516	*BCD UP/DOWN Counter - type:digital pkg:DIP16 [DVDD=16;DGND=8;](3,13,12,4,1,15,5,10,9,7,6,11,14,2)
Digital by Number	45xx	4515	4515	*4-bit Latch to 16 Line Decoder - type:digital pkg:DIP24 [DVDD=24;DGND=12;](22,21,3,2,1,23,11,9,10,8,7,6,5,4,18,17,20,19,14,13,16,15)
Digital by Number	45xx	4514	4514	*4-bit Latch to 16 Line Decoder - type:digital pkg:DIP24 [DVDD=24;DGND=12;](22,21,3,2,1,23,11,9,10,8,7,6,5,4,18,17,20,19,14,13,16,15)
Digital by Number	45xx	4512	4512	*8-input 3-state Multiplexer - type:digital pkg:DIP16 [DVDD=16;DGND=8;](9,7,6,5,4,3,2,1,13,12,11,15,10,14)
Digital by Number	45xx	4511	4511	*BCD-TO-7segment Latch/Decoder/Driver - type:digital pkg:DIP16 [DVDD=16;DGND=8;](6,2,1,7,5,4,3,14,15,9,10,11,12,13)
Digital by Number	45xx	4510	4510	*BCD up/down Counter - type:digital pkg:DIP16 [DVDD=16;DGND=8;](3,13,12,4,1,15,5,10,9,7,6,11,14,2)
Digital by Number	45xx	4508	4508	*Dual 4-bit Latch - type:digital pkg:DIP24 [DVDD=24;DGND=12;](A:10,8,6,4,2,1,3,5,7,9,11)(B:22,20,18,16,14,13,15,17,19,21,23)
Digital by Number	45xx	4505	4505	*64-bit 1-bit/word RAM - type:digital pkg:DIP14 [DVDD=14;DGND=7;](12,11,4,3,2,1,5,6,8,9,10,13)
Digital by Number	45xx	4502	4502	*Strobed Hex Inverter/Buffer - type:digital pkg:DIP16 [DVDD=16;DGND=8;](15,13,10,1,6,3,12,4,5,7,2,9,11,14)
Digital by Number	41xx	4104	4104	*Quadruple Low To High Voltage Translator - type:digital pkg:DIP16 [DVDD=16;DGND=8;](12,11,5,4,15,2,3,7,6,9,10,14,13)
Digital by Number	40xx	4094	4094	*8-Stage Shift/Store Register - type:digital pkg:DIP16 [DVDD=16;DGND=8;](2,3,1,15,4,5,6,7,14,13,12,11,9,10)
Digital by Number	40xx	4093	4093	*CMOS 2-in NAND schmitt trigger - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:1,2,3)(B:5,6,4)(C:8,9,10)(D:12,13,11)
Digital by Number	40xx	4086	4086	*4-Wide 2-Input AND-OR-INVERT gate - type:digital pkg:DIP14 [DVDD=14;DGND=7;](1,2,5,6,8,9,12,13,10,11,3)
Digital by Number	40xx	4085	4085	*Dual 2-input And-Or-Invert Gate - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:1,2,12,13,10,3)(B:5,6,8,9,11,4)
Digital by Number	40xx	4082	4082	*4-input AND - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:2,3,4,5,1)(B:9,10,11,12,13)
Digital by Number	40xx	4081	4081	*CMOS Quad 2-input AND - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:1,2,3)(B:5,6,4)(C:8,9,10)(D:12,13,11)
Digital by Number	40xx	4078	4078	*8-input NOR - type:digital pkg:DIP14 [DVCC=14;DGND=7;](2,3,4,5,9,10,11,12,13)
Digital by Number	40xx	4077	4077	*Qaud 2-input XNOR - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:1,2,3)(B:5,6,4)(C:8,9,10)(D:12,13,11)
Digital by Number	40xx	4076	4076	*4-bit D-Type Register - type:digital pkg:DIP16 [DVDD=16;DGND=8;](11,12,13,14,10,9,2,1,7,15,3,4,5,6)
Digital by Number	40xx	4075	4075	*Triple 3-input OR - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:3,3,5,6)(B:1,2,8,9)(C:11,12,13,10)
Digital by Number	40xx	4073	4073	*CMOS 3-input AND gate - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:3,4,5,6)(b:1,2,8,9)(C:11,12,13,10)
Digital by Number	40xx	4072	4072	*Dual 4-input OR - type:digital pkg:DIP14 [DVCC=14;DGND=7;](A:2,3,4,5,1)(B:9,10,11,12,13)
Digital by Number	40xx	4071	4071	*CMOS Quad 2-in OR - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:1,2,3)(B:5,6,4)(C:8,9,10)(D:12,13,11)
Digital by Number	40xx	4070	4070	*CMOS Qaud 2-input XOR - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:1,2,3)(B:5,6,4)(C:8,9,10)(D:12,13,11)
Digital by Number	40xx	4069	4069	*CMOS Hex Inverter - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:1,2)(B:3,4)(C:5,6)(D:9,8)(E:11,10)(F:13,12)
Digital by Number	40xx	4068	4068	*CMOS 8-input NAND - type:digital pkg:DIP14 [DVDD=14;DGND=7;](2,3,4,5,9,10,11,12,13)
Digital by Number	40xx	4050	4050	*CMOS Hex Buffer - type:digital pkg:DIP16 [DVDD=1;DGND=8;](A:3,2)(B:5,4)(C:7,6)(D:9,10)(E:11,12)(F:14,15)
Digital by Number	40xx	4049	4049	*CMOS Hex Inverter - type:digital pkg:DIP16 [DVDD=1;DGND=8;](A:3,2)(B:5,4)(C:7,6)(D:9,10)(E:11,12)(F:14,15)
Digital by Number	40xx	4044	4044	*Quad 3-state R-S Latch - type:digital pkg:DIP16 [DVDD=16;DGND=8;](14,15,12,11,6,7,4,3,5,2,9,10,1)
Digital by Number	40xx	4043	4043	*Quad 3-state R-S Latch - type:digital pkg:DIP16 [DVDD=16;DGND=8;](14,15,12,11,6,7,4,3,5,2,9,10,1)
Digital by Number	40xx	4042	4042	*Quad Transparent Latch - type:digital pkg:DIP16 [DVDD=16;DGND=8;](14,13,7,4,6,5,3,2,9,10,12,11,15,1)
Digital by Number	40xx	4041	4041	*Qaud True/Complement Buffer - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:3,2,1)(B:6,5,4)(C:10,9,8)(D:13,12,11)
Digital by Number	40xx	4040	4040	*12-bit Binary Counter - type:digital pkg:DIP16 [DVDD=16;DGND=8;](10,11,9,7,6,5,3,2,4,13,12,14,15,1)
Digital by Number	40xx	4035	4035	*4-bit Parallel-In/Out Shift Register - type:digital pkg:DIP16 [DVDD=16;DGND=8;](12,11,10,9,7,4,3,6,5,2,1,15,14,13)
Digital by Number	40xx	4031	4031	*Dual 64-bit Static Shift Register - type:digital pkg:DIP16 [DVDD=16;DGND=8;](15,10,1,2,9,7,6)
Digital by Number	40xx	4030	4030	*CMOS Qaud 2-input XOR - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:1,2,3)(B:5,6,4)(C:8,9,10)(D:12,13,11)
Digital by Number	40xx	4029	4029	*Binary/Decade Up/Down Counter - type:digital pkg:DIP16 [DVDD=16;DGND=8;](3,13,12,4,1,15,5,9,10,7,6,11,14,2)
Digital by Number	40xx	4028	4028	*4-bit BCD to decimal decoder - type:digital pkg:DIP16 [DVDD=16;DGND=8;](11,12,13,10,3,14,2,15,1,6,7,4,9,5)
Digital by Number	40xx	4027	4027	*J-K FLIP FLOP - type:digital pkg:DIP16 [DVDD=16;DGND=8;](A:9,10,13,11,12,14,15)(B:7,6,3,5,4,2,1)
Digital by Number	40xx	4025	4025	*CMOS 3-input NOR - type:digital pkg:DIP14 [DVDD=14;DGND=7;](A:3,4,5,6)(B:1,2,8,9)(C:11,12,13,10)
